,id,,,,,,,,,,
,ID,Event1,Param1,Event2,Param2,Event3,Param3,Event4,Param4,Event5,Param5
,int,int,int,int,int,int,int,int,int,int,int
KEY,1,,,,,,,,,,
,4,201,,,,,,,,,
,14,201,,,,,,,,,
,16,202,,,,,,,,,
,17,202,,,,,,,,,
,19,202,,,,,,,,,
,22,202,,,,,,,,,
,27,202,,,,,,,,,
,28,202,,,,,,,,,
,29,202,,,,,,,,,
,33,201,,,,,,,,,
,36,102,,,,,,,,,
,37,102,,,,,,,,,
,38,102,,,,,,,,,
,42,202,,,,,,,,,
,54,202,,,,,,,,,
,60,202,,,,,,,,,
,61,103,,,,,,,,,
,67,202,,,,,,,,,
,76,103,,,,,,,,,
,86,103,,,,,,,,,
,87,103,,,,,,,,,
,88,103,,,,,,,,,
,89,103,,,,,,,,,
,90,103,,,,,,,,,
,91,103,,,,,,,,,
,92,103,,,,,,,,,
,93,103,,,,,,,,,
,95,103,,,,,,,,,
,97,103,,104,,105,,,,,
,99,103,,,,,,,,,
